what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381426984050
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381426985501
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381426989123
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381426995134
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381427002111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1381427006931
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381427011116
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381427012476
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381427016093
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381427020369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1381427022269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1381427022448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1381427028555
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381427032368
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381427033710
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381427037137
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381427049758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381427053350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381427054407
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381427057587
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381427058955
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381427062951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381427076333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381427078329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381427078875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381427108643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381427116171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381427120775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381427122858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381451450846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381451453323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381451471795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381451473927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381451474302
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381451474304
