what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381473516315
opened,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381473517968
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1381473518305
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1381473518349
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381473534141
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1381473534194
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381473534402
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1381473534965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1381473541422
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1381473543012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381473543308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381473545840
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381473549835
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381473550601
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381473553337
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381473581446
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381473581669
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381473581723
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1381473588552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381473588932
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1381473591026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381473591484
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1381473594783
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1381473595031
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1381473595535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381473596759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381473598545
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1381473599411
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1381473602127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1381473603103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381473604765
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1381473605498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1381473608013
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1381473609627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381473609920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381473612294
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381473617220
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381473621312
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381473624066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381473639381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381474058748
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381474058759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381474063009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381474065995
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1381474069464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381474069756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381474285709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381474289814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381475370647
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381475371879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381475375969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381475388146
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381475388153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381475390978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381475392968
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381475394293
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381475395047
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381475397794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381475417880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476590385
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381476592687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476595394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476598402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476600974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476601079
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1381476605733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476606025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476612293
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381476648837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476651198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476652222
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381476652226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476652933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476654016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476654893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476656548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476657709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476660872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476661925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476663231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476664157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476665560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381476667966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381477682674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381477684278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381477685591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381477685652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381477685692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381477689631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381477692831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381477696146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381477699134
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1381477700838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381477701115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381477702787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381477708360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381477709796
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381477711136
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381477711874
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381477714659
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381477726644
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381477731169
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381477734216
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381477737244
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1381477737996
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1381477740752
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1381477743214
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1381477746252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1381477765019
