what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1381492553182
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1381492553182
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1381492553183
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1381492553183
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1381492553183
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1381492553184
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1381492553184
os,sysinfo,,,"win32",1381492553186
arch,sysinfo,,,"x86",1381492553186
ws,sysinfo,,,"win32",1381492553186
locale,sysinfo,,,"zh_TW",1381492553186
processors,sysinfo,,,"8",1381492553186
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1381492553186
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1381492553186
java.specification.name,sysinfo,,,"Java Platform API Specification",1381492553186
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1381492553186
java.specification.version,sysinfo,,,"1.6",1381492553186
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1381492553186
java.version,sysinfo,,,"1.6.0_23",1381492553186
java.vm.info,sysinfo,,,"mixed mode",1381492553186
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1381492553186
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1381492553186
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1381492553186
java.vm.specification.version,sysinfo,,,"1.0",1381492553186
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1381492553186
java.vm.version,sysinfo,,,"19.0-b09",1381492553186
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1381492553294
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1381492553459
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1381492553488
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1381492553527
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1381492553780
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1381492555853
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1381492555856
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1381492555857
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1381492555857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492555885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492558768
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1381492560504
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1381492560506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492561926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492563234
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1381492563241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492563525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492563915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492564472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492566586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492570437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492574107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492578405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492580737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492584645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492588342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492588444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492589608
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1381492589658
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381492589692
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1381492590018
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1381492590019
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1381492590019
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1381492590019
stopped,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1381492590019
stopped,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1381492590019
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1381492590019
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1381492590019
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1381492590019
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1381492590020
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1381492590020
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1381492590021
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1381492590021
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1381492590021
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1381492590021
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1381492590022
